"","R2gainPvalue","R2losePvalue","AshiftPvalue","phasePvalue","intshiftPvalue"
"ENKD1",0.648718752858468,0.351281247141532,0.334280711382911,0.987703686280659,0.899597527669973
"SHANK3",0.648725286500189,0.351274713499811,0.673500855907065,0.820677669319325,0.46248382923674
"TRRAP",0.648771021992238,0.351228978007762,0.894625426320122,0.784598899734734,0.119683249049355
"TMC7",0.648855959334614,0.351144040665386,0.524259411710899,0.638375998013773,0.0415016922132058
"BMP6",0.649110771361742,0.350889228638258,0.269003096946176,0.641067858402917,0.807081160897461
"RILPL1",0.649123838645184,0.350876161354816,0.49337488729468,0.931207286317247,0.970690083238596
"ZNF660",0.649274112404772,0.350725887595228,0.508075581167431,0.777294288290407,0.119245495054033
"LOC105369477",0.649398251597475,0.350601748402525,0.43100474342389,0.194343172997765,0.152959086335542
"DVL1",0.649470121656409,0.350529878343591,0.309139258039646,0.463169861617468,0.822265344257582
"CNP",0.649568126282227,0.350431873717773,0.587191448769715,0.697178773504776,0.0598089563160714
"CRELD1",0.649613861774276,0.350386138225724,0.658068394161538,0.00938884315339683,0.586067662393665
"CYB5B",0.649672664549767,0.350327335450233,0.723646556117449,0.65610176800345,0.466462817044965
"B3GAT3",0.649770669175585,0.350229330824415,0.577965946659349,0.69404915912031,0.80365753263554
"MDH2",0.649783736459028,0.350216263540972,0.578854521933435,0.993949847766148,0.96136004286069
"ZDHHC17",0.649822938309355,0.350177061690645,0.97172893227227,0.62034968050492,0.807094228180903
"SMC6",0.649875207443125,0.350124792556875,0.600598481581664,0.712558966116534,0.518986762841873
"POLE3",0.649920942935173,0.350079057064827,0.706887765102513,0.86805310543991,0.80712689638951
"OSTM1",0.649940543860337,0.350059456139663,0.943144249741921,0.593359206554549,0.971055967174984
"DHPS",0.650032014844434,0.349967985155566,0.536457720804422,0.166973747827564,0.839154808106943
"BMT2",0.650149620395416,0.349850379604584,0.762384517882577,0.61612894795301,0.336208135690671
"SERINC5",0.650188822245743,0.349811177754257,0.695303618330785,0.660864792818221,0.453500071870059
"HPS3",0.650247625021234,0.349752374978766,0.910123224482862,0.860421811909522,0.918192272008572
"PRMT5",0.650267225946398,0.349732774053602,0.62066982894926,0.846374482208894,0.737595881192259
"TNIK",0.650450167914592,0.349549832085408,0.677701987533812,0.525442000862441,0.573634142198178
